Tempo,Estacao,LAT,LONG,Original_473,Original_269,Zero,Maca_Verde,Tangerina,Citrus,Acai_Guarana,Pessego,TARGET
2018-03-21,Eucaliptos,-23.61,-46.6686,9,24,55,39,15,16,16,25,REABASTECER
2019-10-26,Hospital São Paulo,-23.5984,-46.6455,46,14,31,7,27,22,35,21,NORMAL
2018-01-06,Paraíso,-23.57677,-46.63933,31,35,26,20,18,35,30,23,NORMAL
2018-03-27,Paraíso,-23.57677,-46.63933,15,9,53,29,27,14,36,7,NORMAL
2019-10-16,Paraíso,-23.57677,-46.63933,19,26,59,29,15,34,25,21,NORMAL
2018-06-21,Brigadeiro,-23.5683,-46.6482,47,34,13,18,13,37,43,17,NORMAL
2018-08-21,Brigadeiro,-23.5683,-46.6482,3,38,9,43,18,39,12,15,NORMAL
2018-10-18,Brigadeiro,-23.5683,-46.6482,55,47,17,5,31,21,36,7,REABASTECER
2019-02-20,Brigadeiro,-23.5683,-46.6482,86,44,65,38,37,14,13,8,NORMAL
2018-07-30,Brigadeiro,-23.5683,-46.6482,29,38,12,19,22,13,13,23,NORMAL
2018-09-28,Brigadeiro,-23.5683,-46.6482,77,30,20,16,28,5,32,43,REABASTECER
2018-11-02,Trianon-Masp,-23.5634,-46.6544,70,18,8,1,31,43,26,3,NORMAL
2019-07-12,Trianon-Masp,-23.5634,-46.6544,64,15,40,29,11,32,10,15,NORMAL
2019-08-26,Trianon-Masp,-23.5634,-46.6544,61,8,51,24,43,22,43,43,REABASTECER
2018-07-02,Consolação,-23.5581,-46.6606,10,29,40,14,10,15,35,31,REABASTECER
2019-05-12,Consolação,-23.5581,-46.6606,32,49,65,13,38,20,20,39,NORMAL
2019-06-07,Consolação,-23.5581,-46.6606,46,18,19,43,17,27,37,28,NORMAL
2019-12-13,Consolação,-23.5581,-46.6606,19,9,65,15,26,4,3,36,NORMAL
2019-02-15,Tamanduateí,-23.5929,-46.5897,31,15,47,22,43,37,37,37,NORMAL
2019-03-29,Tamanduateí,-23.5929,-46.5897,21,33,61,9,5,19,32,34,NORMAL
2018-02-11,Sé,-23.55,-46.6333,21,27,46,40,43,15,22,12,NORMAL
2018-05-06,Sé,-23.55,-46.6333,86,51,65,43,33,38,20,17,NORMAL
2018-10-28,Sé,-23.55,-46.6333,44,30,12,23,5,19,15,2,REABASTECER
2019-01-09,Sé,-23.55,-46.6333,86,65,46,16,41,9,43,27,NORMAL
2019-04-07,Sé,-23.55,-46.6333,29,15,34,43,10,43,40,6,REABASTECER
2019-09-08,Sé,-23.55,-46.6333,86,32,65,36,32,33,13,26,NORMAL
2018-06-30,Brás,-23.5451,-46.6162,76,42,16,37,35,13,43,43,NORMAL
2019-02-24,Brás,-23.5451,-46.6162,77,52,27,21,9,39,29,10,NORMAL
2018-01-24,Barra Funda,-23.5542,-46.6707,21,61,43,30,33,42,43,36,NORMAL
2019-03-14,Barra Funda,-23.5542,-46.6707,25,35,32,23,43,39,41,1,REABASTECER
2018-05-01,Tatuapé,-23.5402,-46.5765,39,27,6,14,21,29,10,24,NORMAL
2019-02-14,Tatuapé,-23.5402,-46.5765,53,20,52,6,25,26,43,37,NORMAL
2019-08-15,Tatuapé,-23.5402,-46.5765,77,60,27,16,19,30,13,2,REABASTECER
2018-02-21,República,-23.5436,-46.6434,51,65,65,15,9,15,10,12,NORMAL
2018-04-22,República,-23.5436,-46.6434,55,15,34,6,25,37,39,38,REABASTECER
2018-07-13,República,-23.5436,-46.6434,11,45,15,10,4,17,22,6,REABASTECER
2019-10-27,República,-23.5436,-46.6434,41,12,19,43,18,26,14,16,NORMAL
2018-06-25,Higienópolis-Mackenzie,-23.5488,-46.6519,77,25,42,31,15,15,18,19,NORMAL
2018-08-16,Higienópolis-Mackenzie,-23.5488,-46.6519,74,34,28,11,38,28,37,27,NORMAL
2018-10-21,Higienópolis-Mackenzie,-23.5488,-46.6519,28,26,22,29,39,19,37,31,NORMAL
2018-11-16,Higienópolis-Mackenzie,-23.5488,-46.6519,56,65,56,43,13,41,17,24,NORMAL
2019-01-07,Higienópolis-Mackenzie,-23.5488,-46.6519,6,55,25,42,14,33,22,38,REABASTECER
2019-07-16,Higienópolis-Mackenzie,-23.5488,-46.6519,42,38,29,18,43,41,41,1,REABASTECER
2018-02-01,Faria Lima,-23.5675,-46.6929,69,30,46,10,37,6,5,18,REABASTECER
2018-09-20,Faria Lima,-23.5675,-46.6929,14,25,20,40,43,34,24,32,NORMAL
2019-09-10,Faria Lima,-23.5675,-46.6929,24,6,47,25,5,23,30,19,REABASTECER
2018-02-18,Pinheiros,-23.5664,-46.703,43,29,11,27,37,38,16,3,REABASTECER
2018-04-14,Pinheiros,-23.5664,-46.703,19,26,65,43,19,5,3,32,NORMAL
2018-07-12,Pinheiros,-23.5664,-46.703,32,5,10,9,10,7,5,27,REABASTECER
2018-10-06,Pinheiros,-23.5664,-46.703,50,6,52,6,29,32,26,36,NORMAL
2019-03-23,Pinheiros,-23.5664,-46.703,70,54,65,9,29,20,38,43,NORMAL
2019-08-22,Pinheiros,-23.5664,-46.703,74,35,58,9,41,23,10,12,NORMAL
2019-12-12,Pinheiros,-23.5664,-46.703,86,12,20,13,6,23,43,18,REABASTECER
2018-06-30,Butantã,-23.5844,-46.7252,74,7,42,19,19,18,5,43,REABASTECER
2018-10-06,Butantã,-23.5844,-46.7252,33,60,65,6,22,30,14,22,REABASTECER
2018-01-03,Fradique Coutinho,-23.5661,-46.6841,72,54,55,39,34,34,36,35,NORMAL
2018-07-18,Fradique Coutinho,-23.5661,-46.6841,64,47,11,18,18,43,34,10,NORMAL
2019-05-24,Fradique Coutinho,-23.5661,-46.6841,59,29,4,33,43,11,43,16,NORMAL
2018-05-28,Luz,-23.5365,-46.6332,86,28,21,23,43,19,13,6,REABASTECER
2018-08-01,Luz,-23.5365,-46.6332,86,54,8,43,7,10,24,43,REABASTECER
2018-08-20,Luz,-23.5365,-46.6332,62,65,65,15,19,8,9,12,NORMAL
2018-10-24,Luz,-23.5365,-46.6332,24,41,20,3,16,37,3,43,REABASTECER
2019-11-14,Luz,-23.5365,-46.6332,55,59,46,17,40,23,20,3,REABASTECER
2018-02-12,Ana Rosa,-23.5813,-46.6383,36,8,40,40,43,42,43,18,NORMAL
2018-03-04,Ana Rosa,-23.5813,-46.6383,4,46,24,25,37,34,39,16,REABASTECER
2018-11-17,Ana Rosa,-23.5813,-46.6383,78,58,43,37,8,20,23,36,NORMAL
2019-05-12,Ana Rosa,-23.5813,-46.6383,22,7,18,43,34,36,17,21,NORMAL
2019-07-02,Ana Rosa,-23.5813,-46.6383,63,8,57,8,43,23,30,34,REABASTECER
2019-11-09,Ana Rosa,-23.5813,-46.6383,68,47,57,7,14,14,34,41,NORMAL
2019-12-10,Ana Rosa,-23.5813,-46.6383,33,65,27,37,14,7,37,43,NORMAL
2019-02-23,São Joaquim,-23.5618,-46.6389,64,33,9,37,6,41,13,26,NORMAL
2018-02-02,São Judas,-23.6255,-46.6411,60,20,44,41,7,33,33,40,NORMAL
2018-02-23,São Judas,-23.6255,-46.6411,12,35,50,35,4,15,37,23,REABASTECER
2018-08-02,São Judas,-23.6255,-46.6411,29,23,61,25,19,7,11,38,NORMAL
2018-11-29,São Judas,-23.6255,-46.6411,16,24,27,37,19,26,22,26,NORMAL
2019-01-04,São Judas,-23.6255,-46.6411,40,7,51,5,9,16,4,1,REABASTECER
2019-01-22,São Judas,-23.6255,-46.6411,45,37,65,27,21,34,15,21,NORMAL
2019-03-08,São Judas,-23.6255,-46.6411,23,4,18,41,7,24,33,17,REABASTECER
2019-11-01,São Judas,-23.6255,-46.6411,51,37,57,39,10,12,13,10,NORMAL
2018-03-11,Vila Mariana,-23.5895,-46.6346,19,28,39,38,36,35,34,19,NORMAL
2018-08-23,Vila Mariana,-23.5895,-46.6346,20,15,30,37,35,27,37,43,NORMAL
2018-10-08,Vila Mariana,-23.5895,-46.6346,66,1,9,43,24,20,26,43,NORMAL
2018-02-16,Brooklin,-23.6263,-46.6878,86,51,65,20,43,39,11,31,NORMAL
2018-08-19,Brooklin,-23.6263,-46.6878,47,27,9,13,43,7,27,38,NORMAL
2019-12-03,Brooklin,-23.6263,-46.6878,79,54,65,42,34,28,31,41,NORMAL
2018-02-27,Campo Belo,-23.6188,-46.6823,48,25,33,43,6,8,23,43,REABASTECER
2018-07-22,Campo Belo,-23.6188,-46.6823,9,8,56,8,34,11,19,27,NORMAL
2018-08-13,Campo Belo,-23.6188,-46.6823,64,11,36,30,30,21,33,27,NORMAL
2018-08-24,Campo Belo,-23.6188,-46.6823,30,19,18,39,29,22,37,27,NORMAL
2018-12-02,Campo Belo,-23.6188,-46.6823,35,8,60,21,12,9,17,18,REABASTECER
2019-02-15,Campo Belo,-23.6188,-46.6823,42,38,56,7,10,32,38,32,NORMAL
2019-08-03,Campo Belo,-23.6188,-46.6823,51,4,23,43,43,37,10,28,REABASTECER
2019-09-08,Campo Belo,-23.6188,-46.6823,67,44,38,38,33,6,1,22,REABASTECER
2019-11-16,Campo Belo,-23.6188,-46.6823,31,48,38,38,17,26,28,3,NORMAL
2018-02-01,Eucaliptos,-23.61,-46.6686,51,12,65,5,9,39,43,11,NORMAL
2018-03-26,Eucaliptos,-23.61,-46.6686,43,60,20,24,38,43,37,43,NORMAL
2019-05-22,Eucaliptos,-23.61,-46.6686,48,13,31,35,5,33,28,23,REABASTECER
2019-08-03,Eucaliptos,-23.61,-46.6686,63,63,57,14,37,25,43,4,REABASTECER
2019-03-19,Brooklin,-23.6263,-46.6878,54,61,46,9,12,43,25,37,NORMAL
2019-05-11,Brooklin,-23.6263,-46.6878,77,65,51,41,20,43,26,43,NORMAL
2019-08-27,Brooklin,-23.6263,-46.6878,59,14,65,32,4,6,31,20,NORMAL
2019-09-05,Brooklin,-23.6263,-46.6878,69,26,14,11,7,20,43,30,NORMAL
2019-09-08,Brooklin,-23.6263,-46.6878,37,65,65,43,40,14,28,16,NORMAL
2018-07-06,Campo Belo,-23.6188,-46.6823,86,39,32,12,5,11,34,5,REABASTECER
2019-01-11,Campo Belo,-23.6188,-46.6823,25,36,40,35,20,26,43,41,NORMAL
2019-02-09,Campo Belo,-23.6188,-46.6823,21,62,31,31,39,7,15,12,NORMAL
2019-06-29,Campo Belo,-23.6188,-46.6823,35,15,51,37,4,21,27,31,REABASTECER
2019-02-26,Eucaliptos,-23.61,-46.6686,16,49,45,5,5,43,37,16,NORMAL
2019-05-02,Eucaliptos,-23.61,-46.6686,66,55,36,12,3,40,28,16,NORMAL
2019-05-28,Eucaliptos,-23.61,-46.6686,86,40,59,6,28,8,8,43,NORMAL
2019-10-01,Eucaliptos,-23.61,-46.6686,18,38,8,25,30,41,21,11,NORMAL
2018-02-04,Moema,-23.5489,-46.6388,30,65,32,23,31,14,35,1,NORMAL
2018-06-09,Moema,-23.5489,-46.6388,86,42,41,22,43,29,34,12,NORMAL
2018-11-13,Moema,-23.5489,-46.6388,32,55,16,21,24,8,25,8,NORMAL
2018-10-21,Paraíso,-23.57677,-46.63933,63,23,29,43,16,43,6,32,REABASTECER
2019-01-28,Paraíso,-23.57677,-46.63933,65,9,33,30,32,41,3,30,REABASTECER
2019-10-02,Paraíso,-23.57677,-46.63933,62,54,34,38,21,21,31,31,NORMAL
2019-12-16,Paraíso,-23.57677,-46.63933,76,65,38,27,31,34,43,23,NORMAL
2018-06-20,Brigadeiro,-23.5683,-46.6482,58,39,18,24,15,38,5,22,NORMAL
2018-07-11,Brigadeiro,-23.5683,-46.6482,31,27,9,43,17,12,7,26,REABASTECER
2019-06-11,Brigadeiro,-23.5683,-46.6482,45,19,10,17,35,17,2,32,NORMAL
2019-09-11,Brigadeiro,-23.5683,-46.6482,24,41,52,24,12,43,3,16,REABASTECER
2019-11-01,Brigadeiro,-23.5683,-46.6482,51,65,36,9,43,27,22,33,NORMAL
2019-11-20,Brigadeiro,-23.5683,-46.6482,49,28,15,40,22,4,36,31,REABASTECER
2018-09-12,Trianon-Masp,-23.5634,-46.6544,54,52,65,30,38,30,5,43,NORMAL
2018-11-19,Trianon-Masp,-23.5634,-46.6544,79,54,20,43,11,34,13,12,NORMAL
2019-04-19,Trianon-Masp,-23.5634,-46.6544,79,65,46,30,2,6,32,14,REABASTECER
2019-04-30,Trianon-Masp,-23.5634,-46.6544,54,47,33,37,43,8,36,5,NORMAL
2019-08-03,Trianon-Masp,-23.5634,-46.6544,32,11,18,8,13,14,4,15,REABASTECER
2019-10-14,Trianon-Masp,-23.5634,-46.6544,20,49,47,34,20,12,12,7,NORMAL
2018-02-25,Consolação,-23.5581,-46.6606,73,53,14,16,43,1,22,10,NORMAL
2019-10-10,Consolação,-23.5581,-46.6606,44,3,27,35,8,8,38,37,NORMAL
2018-01-08,Tamanduateí,-23.5929,-46.5897,13,25,18,21,17,18,11,19,NORMAL
2018-01-27,Sé,-23.55,-46.6333,77,49,7,43,19,9,34,24,NORMAL
2019-03-02,Sé,-23.55,-46.6333,19,33,13,21,35,18,9,24,NORMAL
2019-03-07,Sé,-23.55,-46.6333,58,8,46,43,12,43,33,4,REABASTECER
2018-01-25,Brás,-23.5451,-46.6162,11,65,27,8,35,8,25,28,REABASTECER
2018-02-14,Brás,-23.5451,-46.6162,86,24,27,1,8,33,38,25,REABASTECER
2018-03-08,Brás,-23.5451,-46.6162,1,19,65,5,31,43,28,18,REABASTECER
2018-10-16,Brás,-23.5451,-46.6162,46,65,56,17,29,21,4,10,REABASTECER
2019-02-01,Brás,-23.5451,-46.6162,38,8,52,15,17,21,37,15,REABASTECER
2019-11-13,Brás,-23.5451,-46.6162,5,24,65,12,23,39,20,35,REABASTECER
2019-12-24,Brás,-23.5451,-46.6162,38,40,17,19,6,13,34,35,NORMAL
2018-07-08,Barra Funda,-23.5542,-46.6707,47,55,56,38,21,39,35,15,NORMAL
2018-11-29,Barra Funda,-23.5542,-46.6707,77,58,47,43,5,14,6,43,NORMAL
2019-06-05,Barra Funda,-23.5542,-46.6707,86,56,57,18,31,19,30,11,NORMAL
2019-11-14,Barra Funda,-23.5542,-46.6707,86,27,18,19,8,38,40,20,NORMAL
2018-02-02,Tatuapé,-23.5402,-46.5765,34,55,38,13,36,3,35,5,REABASTECER
2018-02-26,Tatuapé,-23.5402,-46.5765,50,52,65,28,30,36,31,39,NORMAL
2018-04-18,Tatuapé,-23.5402,-46.5765,63,43,31,14,39,32,22,33,NORMAL
2018-06-30,Tatuapé,-23.5402,-46.5765,64,12,22,27,39,27,43,20,NORMAL
2018-08-27,Tatuapé,-23.5402,-46.5765,28,56,29,7,19,9,25,26,NORMAL
2018-09-21,Tatuapé,-23.5402,-46.5765,61,38,65,15,6,15,43,19,NORMAL
2018-10-09,Tatuapé,-23.5402,-46.5765,79,56,51,43,16,40,22,40,NORMAL
2018-03-04,República,-23.5436,-46.6434,86,43,46,13,40,19,7,8,NORMAL
2018-12-01,República,-23.5436,-46.6434,38,30,5,25,12,3,32,8,NORMAL
2019-02-23,República,-23.5436,-46.6434,33,56,61,18,14,28,16,23,NORMAL
2019-08-06,República,-23.5436,-46.6434,49,59,40,43,41,16,24,6,REABASTECER
2019-12-28,República,-23.5436,-46.6434,86,55,33,36,10,31,30,22,NORMAL
2018-03-18,Higienópolis-Mackenzie,-23.5488,-46.6519,9,47,58,27,43,42,33,22,REABASTECER
2018-05-28,Higienópolis-Mackenzie,-23.5488,-46.6519,86,61,28,39,8,17,33,34,NORMAL
2018-09-12,Higienópolis-Mackenzie,-23.5488,-46.6519,86,6,45,25,21,26,20,8,NORMAL
2019-02-04,Higienópolis-Mackenzie,-23.5488,-46.6519,76,36,46,31,16,43,38,16,NORMAL
2019-03-17,Higienópolis-Mackenzie,-23.5488,-46.6519,15,65,25,21,10,29,4,17,REABASTECER
2019-08-04,Higienópolis-Mackenzie,-23.5488,-46.6519,35,11,38,38,15,43,43,28,NORMAL
2019-09-11,Higienópolis-Mackenzie,-23.5488,-46.6519,86,16,30,13,34,13,22,9,NORMAL
2019-09-25,Higienópolis-Mackenzie,-23.5488,-46.6519,54,47,65,20,31,13,9,38,NORMAL
2019-10-13,Higienópolis-Mackenzie,-23.5488,-46.6519,54,53,8,21,4,11,33,13,REABASTECER
2019-12-03,Higienópolis-Mackenzie,-23.5488,-46.6519,86,46,51,23,15,26,43,17,NORMAL
2018-01-16,Faria Lima,-23.5675,-46.6929,25,41,28,41,16,33,25,30,NORMAL
2018-11-07,Faria Lima,-23.5675,-46.6929,79,7,15,14,31,20,6,23,REABASTECER
2019-03-12,Faria Lima,-23.5675,-46.6929,74,50,65,17,43,43,23,10,NORMAL
2019-06-05,Faria Lima,-23.5675,-46.6929,73,65,55,10,17,37,13,19,NORMAL
2018-02-06,Pinheiros,-23.5664,-46.703,75,46,20,23,37,29,21,7,NORMAL
2018-04-03,Pinheiros,-23.5664,-46.703,38,24,22,5,22,34,2,37,NORMAL
2019-04-09,Pinheiros,-23.5664,-46.703,86,45,11,42,11,6,20,30,NORMAL
2018-02-13,Butantã,-23.5844,-46.7252,24,8,38,4,24,22,11,43,NORMAL
2018-09-10,Butantã,-23.5844,-46.7252,35,8,56,2,41,13,39,32,REABASTECER
2018-12-02,Butantã,-23.5844,-46.7252,9,10,65,15,20,20,8,31,REABASTECER
2018-12-28,Butantã,-23.5844,-46.7252,17,9,11,17,39,16,34,41,REABASTECER
2019-02-16,Butantã,-23.5844,-46.7252,62,62,14,37,11,13,32,10,NORMAL
2019-03-26,Butantã,-23.5844,-46.7252,43,15,65,5,12,23,10,27,NORMAL
2019-03-30,Butantã,-23.5844,-46.7252,86,53,34,33,39,16,39,8,NORMAL
2018-03-17,Fradique Coutinho,-23.5661,-46.6841,38,34,56,43,36,34,30,6,REABASTECER
2018-07-07,Moema,-23.5489,-46.6388,75,12,57,26,15,33,43,25,NORMAL
2018-04-04,Paraíso,-23.57677,-46.63933,33,22,7,12,33,37,8,18,REABASTECER
2018-08-05,Paraíso,-23.57677,-46.63933,62,8,19,38,31,43,9,32,NORMAL
2018-09-24,Paraíso,-23.57677,-46.63933,86,33,14,4,43,32,29,14,REABASTECER
2019-02-26,Paraíso,-23.57677,-46.63933,73,23,28,33,10,12,20,43,NORMAL
2019-04-23,Paraíso,-23.57677,-46.63933,41,49,24,7,6,13,14,35,REABASTECER
2019-10-08,Paraíso,-23.57677,-46.63933,7,24,55,12,43,10,8,10,REABASTECER
2019-07-22,Brigadeiro,-23.5683,-46.6482,76,56,51,8,11,29,14,40,NORMAL
2018-03-08,Trianon-Masp,-23.5634,-46.6544,48,38,56,17,40,4,26,28,REABASTECER
2018-07-16,Trianon-Masp,-23.5634,-46.6544,86,23,15,40,41,29,14,18,NORMAL
2018-09-08,Trianon-Masp,-23.5634,-46.6544,7,14,23,38,8,4,17,21,NORMAL
2018-09-28,Trianon-Masp,-23.5634,-46.6544,74,17,15,3,12,22,31,16,NORMAL
2019-05-22,Consolação,-23.5581,-46.6606,26,48,51,35,34,31,18,8,NORMAL
2019-06-16,Consolação,-23.5581,-46.6606,41,27,22,7,22,34,8,33,NORMAL
2018-03-05,Tamanduateí,-23.5929,-46.5897,86,11,23,26,43,9,16,43,NORMAL
2018-12-19,Tamanduateí,-23.5929,-46.5897,77,19,50,29,34,31,43,38,NORMAL
2019-04-14,Tamanduateí,-23.5929,-46.5897,41,29,19,5,30,20,16,15,REABASTECER
2018-12-17,Sé,-23.55,-46.6333,30,8,61,7,40,10,43,36,REABASTECER
2018-08-30,Brás,-23.5451,-46.6162,75,65,29,29,11,41,19,34,NORMAL
2018-09-02,Brás,-23.5451,-46.6162,53,56,18,26,43,38,9,27,NORMAL
2019-11-11,Brás,-23.5451,-46.6162,24,41,18,13,33,43,25,43,NORMAL
2019-12-26,Brás,-23.5451,-46.6162,18,23,2,11,41,8,29,31,REABASTECER
2018-01-26,Barra Funda,-23.5542,-46.6707,7,50,34,22,23,32,32,26,NORMAL
2018-06-16,Barra Funda,-23.5542,-46.6707,86,51,26,40,19,18,28,20,NORMAL
2019-07-30,Barra Funda,-23.5542,-46.6707,5,55,65,15,6,35,21,15,NORMAL
2019-10-22,Barra Funda,-23.5542,-46.6707,60,17,46,3,22,19,41,23,REABASTECER
2018-01-09,Tatuapé,-23.5402,-46.5765,6,8,12,31,7,15,12,15,REABASTECER
2018-02-17,Tatuapé,-23.5402,-46.5765,64,46,59,7,22,33,23,34,NORMAL
2018-06-19,Tatuapé,-23.5402,-46.5765,8,15,38,16,43,9,3,20,REABASTECER
2018-07-09,Tatuapé,-23.5402,-46.5765,69,7,23,37,43,41,6,19,NORMAL
2019-03-22,Tatuapé,-23.5402,-46.5765,6,13,60,43,43,37,28,19,REABASTECER
2019-09-08,Tatuapé,-23.5402,-46.5765,48,48,19,25,13,8,43,5,REABASTECER
2018-06-28,República,-23.5436,-46.6434,77,7,50,14,24,26,3,21,REABASTECER
2019-04-30,República,-23.5436,-46.6434,67,49,49,26,13,37,39,14,NORMAL
2018-07-26,Higienópolis-Mackenzie,-23.5488,-46.6519,19,27,30,25,24,12,29,17,NORMAL
2018-09-07,Higienópolis-Mackenzie,-23.5488,-46.6519,55,42,15,40,38,43,43,28,NORMAL
2019-07-20,Higienópolis-Mackenzie,-23.5488,-46.6519,9,23,65,42,31,31,21,29,NORMAL
2018-11-09,Faria Lima,-23.5675,-46.6929,57,63,65,7,23,16,39,18,NORMAL
2018-11-28,Faria Lima,-23.5675,-46.6929,40,12,9,39,29,43,6,26,REABASTECER
2019-11-18,Faria Lima,-23.5675,-46.6929,86,26,59,20,32,24,12,38,NORMAL
2018-04-20,Pinheiros,-23.5664,-46.703,42,62,30,19,36,28,16,15,NORMAL
2018-05-27,Pinheiros,-23.5664,-46.703,25,31,47,6,43,5,9,36,REABASTECER
2018-07-04,Pinheiros,-23.5664,-46.703,24,57,61,38,35,29,37,20,NORMAL
2018-08-08,Pinheiros,-23.5664,-46.703,20,61,42,18,33,8,31,9,NORMAL
2019-11-03,Butantã,-23.5844,-46.7252,2,29,61,31,18,35,29,15,REABASTECER
2018-01-06,Fradique Coutinho,-23.5661,-46.6841,45,34,32,32,21,21,24,25,NORMAL
2018-02-17,Fradique Coutinho,-23.5661,-46.6841,74,41,8,22,30,40,29,43,NORMAL
2019-04-01,Fradique Coutinho,-23.5661,-46.6841,55,60,19,9,4,37,37,6,NORMAL
2019-06-04,Fradique Coutinho,-23.5661,-46.6841,57,36,65,40,6,30,3,22,REABASTECER
2019-11-09,Fradique Coutinho,-23.5661,-46.6841,86,36,65,19,4,35,5,43,NORMAL
2018-07-19,Luz,-23.5365,-46.6332,25,65,50,35,13,37,37,14,NORMAL
2019-01-19,Luz,-23.5365,-46.6332,53,55,4,32,24,19,16,21,REABASTECER
2019-07-25,Luz,-23.5365,-46.6332,75,45,9,39,24,22,8,26,NORMAL
2019-09-08,Luz,-23.5365,-46.6332,13,26,13,25,20,19,9,19,NORMAL
2018-07-03,Ana Rosa,-23.5813,-46.6383,39,65,65,14,3,23,40,12,NORMAL
2018-11-20,Ana Rosa,-23.5813,-46.6383,41,45,18,28,41,13,14,28,NORMAL
2019-06-23,Ana Rosa,-23.5813,-46.6383,53,57,55,39,39,38,24,20,NORMAL
2018-07-19,São Joaquim,-23.5618,-46.6389,56,43,38,43,32,29,43,24,NORMAL
2018-11-21,São Joaquim,-23.5618,-46.6389,9,45,36,4,34,28,27,35,REABASTECER
2019-07-21,São Joaquim,-23.5618,-46.6389,86,1,59,22,14,29,38,14,REABASTECER
2018-01-16,São Judas,-23.6255,-46.6411,47,43,30,5,28,36,21,20,NORMAL
2018-11-06,São Judas,-23.6255,-46.6411,64,39,65,30,43,39,25,35,NORMAL
2018-11-11,São Judas,-23.6255,-46.6411,18,15,25,13,19,30,8,14,NORMAL
2018-10-16,Vila Mariana,-23.5895,-46.6346,68,27,24,24,35,35,35,8,NORMAL
2018-01-29,Brooklin,-23.6263,-46.6878,78,10,53,29,25,39,8,12,NORMAL
2018-04-16,Brooklin,-23.6263,-46.6878,33,5,25,7,22,28,29,15,NORMAL
2019-02-15,Brooklin,-23.6263,-46.6878,52,65,12,33,17,40,34,43,NORMAL
2018-05-30,Sé,-23.55,-46.6333,17,33,31,20,18,13,23,14,NORMAL
2018-06-27,Sé,-23.55,-46.6333,22,14,65,16,41,7,3,31,REABASTECER
2018-08-09,Sé,-23.55,-46.6333,48,27,56,17,6,10,24,35,REABASTECER
2019-02-10,Sé,-23.55,-46.6333,61,18,29,27,43,33,9,32,NORMAL
2019-05-24,Sé,-23.55,-46.6333,64,49,17,24,29,29,19,24,NORMAL
2019-06-21,Sé,-23.55,-46.6333,55,15,12,26,43,31,43,40,NORMAL
2019-08-26,Sé,-23.55,-46.6333,42,29,10,23,32,24,20,34,NORMAL
2018-04-01,Brás,-23.5451,-46.6162,34,12,32,12,34,15,13,18,NORMAL
2018-04-16,Brás,-23.5451,-46.6162,74,37,57,43,14,13,41,4,REABASTECER
2018-06-03,Brás,-23.5451,-46.6162,67,21,6,22,18,8,20,27,NORMAL
2018-06-29,Brás,-23.5451,-46.6162,86,49,21,37,38,18,1,1,REABASTECER
2018-07-11,Brás,-23.5451,-46.6162,45,26,16,43,31,19,35,31,NORMAL
2019-12-14,Brás,-23.5451,-46.6162,54,36,18,43,40,4,24,25,REABASTECER
2018-04-07,Barra Funda,-23.5542,-46.6707,86,22,59,23,34,31,24,35,NORMAL
2018-07-04,Barra Funda,-23.5542,-46.6707,86,12,18,8,38,11,9,32,NORMAL
2019-06-13,Barra Funda,-23.5542,-46.6707,13,9,61,35,38,32,40,21,REABASTECER
2019-11-11,Barra Funda,-23.5542,-46.6707,28,48,37,27,18,7,9,30,NORMAL
2019-12-12,Barra Funda,-23.5542,-46.6707,56,50,56,29,18,40,16,20,NORMAL
2018-08-06,Tatuapé,-23.5402,-46.5765,66,39,43,31,15,37,32,28,NORMAL
2019-05-29,Tatuapé,-23.5402,-46.5765,38,40,45,42,27,17,43,5,REABASTECER
2019-06-08,Tatuapé,-23.5402,-46.5765,37,55,46,18,25,27,7,12,NORMAL
2019-09-20,Tatuapé,-23.5402,-46.5765,24,27,5,38,6,22,32,37,REABASTECER
2019-11-03,Tatuapé,-23.5402,-46.5765,40,9,40,6,4,32,38,3,REABASTECER
2019-12-28,Tatuapé,-23.5402,-46.5765,27,35,47,43,41,39,26,5,REABASTECER
2018-03-07,República,-23.5436,-46.6434,54,29,22,7,27,9,39,37,NORMAL
2018-04-03,República,-23.5436,-46.6434,59,8,32,10,12,15,16,18,REABASTECER
2018-06-18,República,-23.5436,-46.6434,4,15,50,37,22,12,2,19,REABASTECER
2018-07-06,República,-23.5436,-46.6434,86,23,61,38,34,43,11,32,NORMAL
2018-07-07,República,-23.5436,-46.6434,78,19,55,35,31,40,9,30,NORMAL
2018-07-12,República,-23.5436,-46.6434,24,55,19,15,10,23,26,9,NORMAL
2018-08-23,República,-23.5436,-46.6434,48,65,51,33,10,20,36,34,NORMAL
2018-10-29,República,-23.5436,-46.6434,22,15,60,36,19,16,3,3,REABASTECER
2019-03-21,República,-23.5436,-46.6434,23,10,57,18,33,23,30,41,NORMAL
2019-05-20,República,-23.5436,-46.6434,45,11,38,34,10,22,38,23,NORMAL
2019-08-20,República,-23.5436,-46.6434,76,40,1,34,31,43,13,26,REABASTECER
2018-04-27,Higienópolis-Mackenzie,-23.5488,-46.6519,41,59,1,10,6,39,26,37,NORMAL
2018-05-11,Higienópolis-Mackenzie,-23.5488,-46.6519,79,43,28,43,35,37,11,24,NORMAL
2018-10-28,Higienópolis-Mackenzie,-23.5488,-46.6519,55,55,48,10,4,39,43,7,REABASTECER
2018-11-23,Higienópolis-Mackenzie,-23.5488,-46.6519,78,14,65,17,28,16,33,41,NORMAL
